,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS
21,THE ACADEMY AT SWIFT RIVER RSDNTL TRTMNT,151 SOUTH ST,CUMMINGTON,MA,1026,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
22,NORTHEAST CENTER FOR YOUTH AND FAMILIES,203 EAST ST,EASTHAMPTON,MA,1027,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
23,SUPERVISORY UNION 66,19 STAGE RD,WESTHAMPTON,MA,1027,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,1001 TO 2000,102.0
24,EAST LONGMEADOW COUNCIL ON AGING SR CTR,328 N MAIN ST,EAST LONGMEADOW,MA,1028,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
25,EAST LONGMEADOW SKILLED NURSING CTR,305 MAPLE ST,EAST LONGMEADOW,MA,1028,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,113.0
26,REDSTONE REHAB AND NURSING CENTER,135 BENTON DR,EAST LONGMEADOW,MA,1028,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,216.0
27,AGAWAM COUNSELING CENTER-SBSTNC ABUSE,PO BOX 84,FEEDING HILLS,MA,1030,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
28,AGAWAM PUBLIC SCHOOL DISTRICT,1305 SPRINGFIELD ST,FEEDING HILLS,MA,1030,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
29,GRANBY PUBLIC SCHOOL DISTRICT,387 E STATE ST,GRANBY,MA,1033,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
30,SUNBRIDGE CARE AND REHAB-HADLEY,PO BOX 720,HADLEY,MA,1035,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,152.0
31,HAMPDEN SENIOR CENTER,104 ALLEN ST,HAMPDEN,MA,1036,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
32,HOLYOKE COMMUNITY COLLEGE,303 HOMESTEAD AVE,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,102.0
33,HOLYOKE SOLDIERS HOME,110 CHERRY ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,250.0
34,HOLYOKE REHABILITATION CENTER,260 EASTHAMPTON RD,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,157.0
35,LOOMIS HOUSE NURSING RETIREMENT CENTER,298 JARVIS AVE,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,87.0
36,HOLYOKE HOSPITAL TRANSITIONAL CARE CTR,575 BEECH ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0
37,HOLYOKE MEDICAL CENTER,575 BEECH ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,HOSPITALS,751-999,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,75.7
38,MONT MARIE HEALTH CARE CENTER INC,34 LOWER WESTFIELD RD,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,84.0
39,MOUNT SAINT VINCENT NURSING HOME,35 HOLY FAMILY RD,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,122.0
40,RENAISSANCE MANOR ON CABOT,279 CABOT ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,32.0
41,GANDARA RESIDENTIAL SVC WOMEN-AODA SVCS,507 APPLETON ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
42,HOLYOKE CNCL ON AGING SENIOR CTR,310 APPLETON ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
43,HOLYOKE CITY SCHOOL DISTRICT,57 SUFFOLK ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
44,MSPCC FAMILY COUNSELING CTR,113 HAMPDEN ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
45,SISTERS OF PROVIDENCE-SNF,1233 MAIN ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0
46,PROVIDENCE BEHAVIORAL HEALTH,1233 MAIN ST,HOLYOKE,MA,1040,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
47,BOYS AND GIRLS CLUB AFTER SCHOOL,PO BOX 6256,HOLYOKE,MA,1041,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
48,GATEWAY REGIONAL SCHOOL DISTRICT,12 LITTLEVILLE RD,HUNTINGTON,MA,1050,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,1001 TO 2000,102.0
49,HAMPSHIRE CARE,PO BOX 313,LEEDS,MA,1053,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,91.0
50,LEEDS ELEMENTARY SCHOOL,20 FLORENCE ST,LEEDS,MA,1053,25015,HAMPSHIRE,8000.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
51,VA MEDICAL CENTER-NURSING HOME CARE UNIT,421 N MAIN ST,LEEDS,MA,1053,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75.0
52,LINDA MANOR EXTENDED CARE FACILITY,349 HAYDENVILLE RD,LEEDS,MA,1053,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,114.0
53,HAMPDEN CO HOUSE CORRECTION-SHERIFF DEPT,627 RANDALL RD,LUDLOW,MA,1056,25013,HAMPDEN,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
54,HAMPDEN COUNTY PRE-RELEASE JAIL,325 ALABAMA ST,LUDLOW,MA,1056,25013,HAMPDEN,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
55,LUDLOW COMM CTR-RANDALL BOYS-GIRLS CLUB,91 CLAUDIAS WAY,LUDLOW,MA,1056,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
56,LUDLOW COUNCIL ON AGING SENIOR CENTER,37 CHESTNUT ST,LUDLOW,MA,1056,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
57,LUDLOW PUBLIC SCHOOL DISTRICT,63 CHESTNUT ST,LUDLOW,MA,1056,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
58,HEALTHSOUTH REHAB HOSPITAL WESTERN MA,14 CHESTNUT PL,LUDLOW,MA,1056,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,102.0
59,MONSON SCHOOL DISTRICT,PO BOX 159,MONSON,MA,1057,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
60,MONSON COUNCIL ON AGING SENIOR CENTER,106 MAIN ST,MONSON,MA,1057,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
61,NORTHAMPTON REHAB AND NURSING CTR,737 BRIDGE RD,NORTHAMPTON,MA,1060,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138.0
62,SMITH VOC AND AGRICULTURAL HIGH SCHOOL,80 LOCUST ST,NORTHAMPTON,MA,1060,25015,HAMPSHIRE,8000.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,102.0
63,CLARKE SCHOOL FOR THE DEAF,47 ROUND HILL RD,NORTHAMPTON,MA,1060,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
64,CALVIN COOLIDGE NURSING AND REHAB CENTER,548 ELM ST,NORTHAMPTON,MA,1060,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,102.0
65,PEOPLES INSTITUTE AFTER SCHOOL PROGRAM,38 GOTHIC ST,NORTHAMPTON,MA,1060,25015,HAMPSHIRE,8000.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
66,HAIRSTON HOUSE SUBSTANCE ABUSE TREATMENT,25 GRAVES AVE,NORTHAMPTON,MA,1060,25015,HAMPSHIRE,8000.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
67,NORTH CTR FOR CHILDREN/FAMILIES,78 POMEROY TER,NORTHAMPTON,MA,1060,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
68,SERVICENET INC-SUBSTANCE ABUSE TREATMENT,129 KING ST,NORTHAMPTON,MA,1060,25015,HAMPSHIRE,8000.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
69,COOLEY DICKINSON HOSPITAL,PO BOX 5001,NORTHAMPTON,MA,1061,25015,HAMPSHIRE,8000.0,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,84.1
70,HAMPSHIRE COUNTY JAIL-SHERIFF DEPARTMENT,PO BOX 7000,NORTHAMPTON,MA,1061,25015,HAMPSHIRE,8000.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
71,CDH-OUTPATIENT BEHAVORIAL HLTH SVCS-AODA,10 MAIN ST,FLORENCE,MA,1062,25015,HAMPSHIRE,8000.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
72,SMITH COLLEGE,98 GREEN ST,NORTHAMPTON,MA,1063,25015,HAMPSHIRE,8000.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,102.0
73,WING MEMORIAL HOSPITAL AND MEDICAL CTR,40 WRIGHT ST,PALMER,MA,1069,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
74,PALMER HOUSE CARE CENTER,250 SHEARER ST,PALMER,MA,1069,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,58.0
75,PALMER COA SENIOR CENTER,1029 CENTRAL ST,PALMER,MA,1069,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
76,PALMER PUBLIC SCHOOL DISTRICT,24 CONVERSE ST,PALMER,MA,1069,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
77,MOUNT HOLYOKE COLLEGE,50 COLLEGE ST,SOUTH HADLEY,MA,1075,25015,HAMPSHIRE,8000.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,102.0
78,SOUTH HADLEY CNCL ON AG SENIOR CENTER,45 DAYTON ST,SOUTH HADLEY,MA,1075,25015,HAMPSHIRE,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
79,WINGATE AT SOUTH HADLEY,573 GRANBY RD,SOUTH HADLEY,MA,1075,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,119.0
80,OPEN ARMS CHILDCARE CENTER,PO BOX 1107,SOUTHWICK,MA,1077,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
81,SOUTHWICK-TOLLAND REGIONAL SCHOOL DIST,86 POWDER MILL RD,SOUTHWICK,MA,1077,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
82,WARE SCHOOL DISTRICT,PO BOX 240,WARE,MA,1082,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
83,WARE SENIOR CENTER,11 CHURCH ST,WARE,MA,1082,25015,HAMPSHIRE,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
84,VALLEY HUMAN SERVICES-SUBSTANCE ABUSE,96 SOUTH ST,WARE,MA,1082,25015,HAMPSHIRE,8000.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
85,BAYSTATE MARY LANE HOSPITAL,85 SOUTH ST,WARE,MA,1082,25015,HAMPSHIRE,8000.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,102.0
86,QUABOAG REGIONAL SCHOOL DISTRICT,PO BOX 1538,WARREN,MA,1083,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
87,COMMUNITY HEALTH CARE METHADONE SVCS,125 N ELM ST,WESTFIELD,MA,1085,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
88,WESTFIELD YOUTH SERVICE DETENTION CENTER,51 E MOUNTAIN RD,WESTFIELD,MA,1085,25013,HAMPDEN,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,102.0
89,WESTERN MASSACHUSETTS HOSPITAL,91 E MOUNTAIN RD,WESTFIELD,MA,1085,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,102.0
90,GOVERNORS CENTER,66 BROAD ST,WESTFIELD,MA,1085,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,1001 TO 2000,89.0
91,WESTFIELD PUBLIC SCHOOL DISTRICT,22 ASHLEY ST,WESTFIELD,MA,1085,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
92,HARBORSIDE HEALTHCARE WESTFIELD,60 E SILVER ST,WESTFIELD,MA,1085,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,102.0
93,RENAISSANCE MANOR OF WESTFIELD,37 FEEDING HILLS RD,WESTFIELD,MA,1085,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,71.0
