,NAME,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company
10,JAMBA JUICE,MANTECA,CA,95336,6077.0,SAN JOAQUIN,8120.0,"LSR - SMOOTHIE, JUICE",BEVERAGES,SMOOTHIE / JUICE,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,179486.496,125461.060704,54025.435296,48461.35392,23153.757984,21538.37952,0.0,0.26790193518997274
11,NITS CAFE,FORT BRAGG,CA,95437,6045.0,MENDOCINO,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",OTHER ETHNIC FOOD,FUSION,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,39444.6851482906,35897.7686769231,3546.91647136752,5134.50053931624,6122.91376068376,7483.07531752137,13544.7599405983,0.9055060914077849
12,MOE'S SOUTHWEST GRILL,BOSSIER CITY,LA,71111,22015.0,BOSSIER,7680.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,251-500 UNITS,5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,309056.5944,277877.083168229,31179.5112317711,49953.2063543931,47379.6593955802,52625.7358885449,102117.023558023,0.23292637107106995
13,TOREROS MEXICAN RESTAURANT,DURHAM,NC,27707,37063.0,DURHAM,6640.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,135049.828604645,126807.862830319,8241.96577432592,20254.3582355835,26159.2826750344,18805.392607961,50121.7464952864,0.6829835123934405
14,MALA OCEAN TAVERN,LAHAINA,HI,96761,15009.0,MAUI,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>",NEIGHBORHOOD BARS & TAVERNS,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",NOT APPLICABLE,NOT APPLICABLE,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
15,SUSHI KATSU JAPANESE,LIHUE,HI,96766,15007.0,KAUAI,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,99692.9150096831,93608.7488767664,6084.16613291675,14951.6369996064,19310.6142479532,13882.019891173,36999.5509444105,0.8257643133155291
16,LIHUE BAKERY & COFFEE SHOP,LIHUE,HI,96766,15007.0,KAUAI,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,87943.4766,61472.4901434,26470.9864566,23744.738682,11344.7084814,10553.217192,0.0,0.06903596403475865
17,TACO DEL MAR,SHERWOOD,OR,97140,41067.0,WASHINGTON,6442.0,LSR - QUICK CASUAL,MEXICAN,MEXICAN,101-250 UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,216117.3528,194314.118210911,21803.2345890894,34931.3197543717,33131.6876930501,36800.1684334365,71408.4773050069,0.5424898599724919
18,SUBWAY,PORTLAND,OR,97202,41051.0,MULTNOMAH,6442.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,139981.4784,119809.985389479,20171.4930105213,22475.8523113921,21073.1988239055,30691.3941666706,29505.8180046284,0.2184974043789265
19,ALLADINS CAFE,PORTLAND,OR,97211,41051.0,MULTNOMAH,6442.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",OTHER ETHNIC FOOD,"MIDDLE EAST (EGYPTIAN, SYRIAN, IRANIAN)",INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,70480.1114828775,64142.4498338461,6337.66164903134,9174.37087048433,10940.4763361823,13370.8250080057,24201.8965808262,0.4338222099106578
20,KING PIZZA OF LEBANON,LEBANON,OR,97355,41043.0,LINN,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>",LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,91878.6095721847,84533.2177343019,7345.39183788285,14865.6739576201,12242.3197298048,15976.2272473952,27107.9936874248,0.1242243479809122
21,BED & BREAKFAST THE CAMPBELL HOUSE INN,EUGENE,OR,97401,41039.0,LANE,2400.0,"BED & BREAKFAST, GUESTHOUSES, CHAMBRES D'HOTES",SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",NOT APPLICABLE,UNCODED,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
22,CALIFORNIA CHICKEN CAFE,LOS ANGELES,CA,90004,6037.0,LOS ANGELES,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHICKEN,CHICKEN ROTISSERIE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,106835.613907656,100315.535486204,6520.07842145247,16022.8770281441,20694.1619463491,14876.6250561307,39650.4579996457,0.07977368290136777
23,HOLIDAY INN,FORSYTH,GA,31029,13207.0,MONROE,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>",2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,501+ UNITS,20 TO 49,5 YEARS PLUS,">$5,000,000",NOT APPLICABLE,251 - 500,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
24,AWAKENED HEART CAFE,TANNERSVILLE,NY,12485,36039.0,GREENE,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,42407.0773152739,38439.47578756,3967.6015277139,5235.27690372114,6858.7909817655,9732.18850071525,13174.9279429244,0.11017555075604035
25,COUNTRY MARKET & DELI,SAINT PETERSBURG,FL,33713,12103.0,PINELLAS,8280.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,310562.9829,265810.497710545,44752.4851894549,49864.9379677204,46753.0101896457,68091.9435250149,65461.6236173566,0.6100054075255326
26,GUANAJUATO MEXICAN RESTAURANT,MILWAUKEE,WI,53207,55079.0,MILWAUKEE,5082.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,134676.200017556,126457.036449341,8219.16356821492,20198.3225683921,26086.9104556387,18753.3656461917,49983.0797711671,0.1162035421624874
27,GREAT WALL,EL RENO,OK,73036,40017.0,CANADIAN,5880.0,LSR - QUICK CASUAL,CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,43633.8846,39231.8326146258,4402.05198537419,7052.59968873706,6689.25571534109,7429.91843034056,14417.3025341091,0.9295482411644956
28,SCOOPS,CULBERTSON,MT,59218,30085.0,ROOSEVELT,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,INDEPENDENT (1-9 UNITS),UNKNOWN,2 TO 5 YEARS,"<=$500,000",UNDER $5,NOT APPLICABLE,106740.5934,87420.5459946,19320.0474054,14943.683076,13769.5365486,39494.019558,0.0,0.17246703271017738
29,JOHNNY'S NEW YORK STYLE PIZZA,NEWNAN,GA,30265,13077.0,COWETA,520.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,51-100 UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,158943.402605897,144651.008824615,14292.3937812821,20689.605794359,24672.443025641,30153.2500120513,54578.9686074359,0.303449614948353
30,ALBERTOS MEXICAN FOOD,HURRICANE,UT,84737,49053.0,WASHINGTON,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,49018.6499850817,46027.0872437217,2991.56274135997,7351.66647215115,9494.96000518599,6825.73956298957,18192.5469545463,0.4849616573934985
31,TRAVELODGE,FLAGSTAFF,AZ,86001,4005.0,COCONINO,2620.0,2* HOTELS WITHOUT RESTAURANT-MIDSCALE,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,251-500 UNITS,5 TO 9,5 YEARS PLUS,"$1,000,001 - $2,500,000",NOT APPLICABLE,51 - 100,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
32,RANGE RESTAURANT GROUP,GREENVILLE,SC,29607,45045.0,GREENVILLE,3160.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,">$5,000,000",$15 TO $20,NOT APPLICABLE,1588743.13782144,1449673.50476741,139069.633054031,194952.325917365,256113.839930656,330927.477607628,565561.976307426,0.6285124141234356
33,DAIRY QUEEN,GREENVILLE,SC,29611,45045.0,GREENVILLE,3160.0,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,138695.6424,113591.7311256,25103.9112744,19417.389936,17891.7378696,51317.387688,0.0,0.42666583492981125
34,STARBUCKS,CASSELBERRY,FL,32707,12117.0,SEMINOLE,5960.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,195636.1176,136749.6462024,58886.4713976,52821.751752,25237.0591704,23476.334112,0.0,0.1632170658629103
35,JIMMY JOHN'S GOURMET SANDWICH SHOP,OMAHA,NE,68102,31055.0,DOUGLAS,5920.0,LSR - QUICK CASUAL,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,254226.2148,226627.711305349,27598.5034946507,30158.3646883575,35678.0653872876,49010.6757711768,90341.7679612335,0.969414911378509
36,MATSURI JAPANESSE RESTAURANT,GENEVA,IL,60134,17089.0,KANE,1602.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,80362.536839323,75458.0857562586,4904.45108306436,12052.5262910844,15566.301263639,11190.3071025684,29825.3669833989,0.27723058211382445
37,CIRCA RESTAURANT & LOUNGE,SAN FRANCISCO,CA,94123,6075.0,SAN FRANCISCO,7362.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,2 TO 5 YEARS,"<=$500,000",$15 TO $20,NOT APPLICABLE,177160.641382259,161652.995871713,15507.6455105461,21739.1208662236,28559.2372164114,36901.7009661947,63065.7782739093,0.3057600995423271
38,FUJI GRILL INC,ORANGE,CA,92868,6059.0,ORANGE,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,101262.439203661,95082.486464997,6179.95273866365,15187.0294144853,19614.6326053238,14100.5726948337,37582.0566356918,0.9050295655011206
39,SUNSET CAFE,VALPARAISO,FL,32580,12091.0,OKALOOSA,2750.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,42088.1180142508,38150.3582839475,3937.7597303033,5195.90045130828,6807.20347996378,9658.98911424174,13075.8344407605,0.6702426742740827
40,MAYAN CAFE,LOUISVILLE,KY,40206,21111.0,JEFFERSON,4520.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",LATIN AMERICAN,OTHER LATIN AMERICA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$10 TO $15,NOT APPLICABLE,426192.304664436,400182.183625271,26010.1210391655,63919.0120055107,82553.8624286558,59346.344223578,158174.970478252,0.7070784330850922
41,ARBY'S,MOORE,OK,73160,40027.0,CLEVELAND,5880.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,308375.4402,263938.182444829,44437.2577551712,49513.6994523679,46423.6914627699,67612.3176771562,65000.5252097578,0.24058966086274902
42,STARBUCKS,POCATELLO,ID,83202,16005.0,BANNOCK,6340.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,184421.6808,128910.7548792,55510.9259208,49793.853816,23790.3968232,22130.601696,0.0,0.8931425232645647
43,TACO BELL,BATON ROUGE,LA,70816,22033.0,EAST BATON ROUGE,760.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",MEXICAN,MEXICAN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,439933.5342,360111.410169452,79822.1240305485,77016.4254705995,42085.4783992347,91652.819625,82627.8225904974,0.567403675150423
44,ROSATI'S PIZZA,URBANA,IL,61801,17019.0,CHAMPAIGN,1400.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,101-250 UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,202581.0,165824.434630102,36756.565369898,35464.5947066327,19379.5599489796,42204.375,38048.5360331633,0.07359295645804342
45,CHINA BISTRO,DANVILLE,CA,94526,6013.0,CONTRA COSTA,7362.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,28909.1922817949,27144.8910915469,1764.30119024798,4335.71180968313,5599.73856035229,4025.54165714426,10729.2191475005,0.9998868678449319
46,THE BRENTWOOD EXPRESS,PITTSBURGH,PA,15227,42003.0,ALLEGHENY,6280.0,LSR - QUICK CASUAL,CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,159773.5404,136362.871913583,23410.6684864171,15208.3904765775,23410.6684864171,32638.2312474866,49213.6680590374,0.5745549270829652
47,WHITE HAWK CAFE INCORPORATED,PITTSBURGH,PA,15235,42003.0,ALLEGHENY,6280.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,180540.040227863,164305.649206154,16234.3910217094,23500.8323791453,28024.8427008547,34250.3613294017,61994.9556032479,0.5174679565640615
48,DAIRY QUEEN,PITTSBURGH,PA,15237,42003.0,ALLEGHENY,6280.0,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,126007.0434,103199.7685446,22807.2748554,17640.986076,16254.9085986,46622.606058,0.0,0.5816076496072597
49,DONUT CONNECTION,CANONSBURG,PA,15317,42125.0,WASHINGTON,6280.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","BAKERIES, BAGELS, DONUTS AND COFFEE & SNACKS",DONUTS,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,83223.9279,68123.6680227359,15100.259877264,14569.495030963,7961.47269451531,17338.3183125,15631.024723565,0.009605089314266957
50,PIZZA HUT,WAYNESBURG,PA,15370,42059.0,GREENE,"<bound method NDFrame.ffill of 0      6162.0
1      7362.0
2      7362.0
3      6640.0
4      7362.0
        ...  
995    1922.0
996    4472.0
997    5602.0
998    2710.0
999    2162.0
Name: MSA, Length: 1000, dtype: object>","LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,261442.404,214005.947406888,47436.4565931122,45769.0943227041,25010.4340561224,54467.1675,49103.8188635204,0.8209583775666494
51,TINS TAVERN,ROCKWOOD,PA,15557,42111.0,SOMERSET,3680.0,NEIGHBORHOOD BARS & TAVERNS,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$500,001 - $1,000,000",NOT APPLICABLE,NOT APPLICABLE,156962.4156,132447.230161966,16133.3140131824,22586.8174473339,21895.5033769133,26986.6801138615,38453.247931896,0.4895782423013596
52,SUBWAY,GREENVILLE,PA,16125,42085.0,MERCER,7610.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.4088645699329264
